# Interpolated abs Mag of Tab11 by Bowen+08 ApJSS 2008, 176, 59, doi:10.1086/524773
# Spt  scode  V      IV     III    II     Ib     Iab    Ia 
  O3.0  3.0  -5.80  -6.00  -6.30  -5.95  -6.30  -6.65  -6.90
  O3.5  3.5  -5.73  -5.94  -6.25  -5.94  -6.30  -6.64  -6.90
  O4.0  4.0  -5.65  -5.88  -6.20  -5.94  -6.29  -6.64  -6.91
  O4.5  4.5  -5.57  -5.82  -6.15  -5.93  -6.28  -6.64  -6.91
  O5.0  5.0  -5.50  -5.76  -6.10  -5.93  -6.28  -6.63  -6.92
  O5.5  5.5  -5.35  -5.64  -6.00  -5.92  -6.27  -6.62  -6.93
  O6.0  6.0  -5.20  -5.52  -5.90  -5.91  -6.26  -6.61  -6.94
  O6.5  6.5  -5.05  -5.40  -5.80  -5.90  -6.25  -6.60  -6.95
  O7.0  7.0  -4.90  -5.28  -5.70  -5.89  -6.24  -6.59  -6.96
  O7.5  7.5  -4.75  -5.16  -5.60  -5.88  -6.23  -6.58  -6.97
  O8.0  8.0  -4.60  -5.04  -5.50  -5.87  -6.22  -6.57  -6.98
  O8.5  8.5  -4.45  -4.92  -5.40  -5.86  -6.21  -6.56  -6.99
  O9.0  9.0  -4.30  -4.80  -5.30  -5.85  -6.20  -6.55  -7.00
  O9.5  9.5  -4.15  -4.68  -5.20  -5.84  -6.19  -6.54  -7.01
  B0.0 10.0  -3.85  -4.44  -5.00  -5.82  -6.17  -6.52  -7.03
  B0.5 10.5  -3.55  -4.20  -4.80  -5.50  -6.05  -6.50  -7.05
  B1.0 11.0  -3.04  -3.96  -4.25  -5.10  -5.95  -6.48  -7.07
  B1.5 11.5  -2.66  -3.50  -3.90  -4.90  -5.90  -6.47  -7.08
  B2.0 12.0  -2.28  -3.10  -3.55  -4.70  -5.85  -6.46  -7.09
  B2.5 12.5  -1.90  -2.70  -3.20  -4.50  -5.80  -6.45  -7.10
  B3.0 13.0  -1.52  -2.30  -2.85  -4.30  -5.75  -6.44  -7.11
  B3.5 13.5  -1.48  -1.48  -1.97  -2.95  -4.21  -5.03  -6.14
