 # Optical depth (Siebenmorgen 2023, A&A 670A,115; SC 2023 doi: 10.48550/arXiv.2311.03310)
 # wel(cm) sa_aC    ss_aC    sa_Si    ss_Si    sa_vgr   ss_vgr   sa_vsi   ss_vsi   s_pahS+B sa_Dark  ss_Dark sigt 
 # ------------------------------------------------------------------------------------------------------------- 
1.000E+00 5.13E-08 2.76E-17 4.02E-07 7.06E-17 5.65E-09 4.73E-23 8.11E-08 1.21E-22 8.46E-12 4.10E-06 8.67E-13 4.639E-06
9.000E-01 6.01E-08 4.21E-17 4.75E-07 1.08E-16 7.21E-09 7.21E-23 9.64E-08 1.85E-22 1.04E-11 4.77E-06 1.32E-12 5.412E-06
8.000E-01 7.17E-08 6.73E-17 5.72E-07 1.72E-16 9.41E-09 1.15E-22 1.17E-07 2.96E-22 1.32E-11 5.67E-06 2.11E-12 6.436E-06
7.000E-01 8.79E-08 1.15E-16 7.06E-07 2.94E-16 1.26E-08 1.97E-22 1.44E-07 5.04E-22 1.73E-11 6.88E-06 3.60E-12 7.831E-06
6.000E-01 1.11E-07 2.13E-16 9.03E-07 5.45E-16 1.75E-08 3.65E-22 1.86E-07 9.33E-22 2.35E-11 8.62E-06 6.66E-12 9.839E-06
5.500E-01 1.27E-07 3.01E-16 1.04E-06 7.72E-16 2.10E-08 5.17E-22 2.14E-07 1.32E-21 2.80E-11 9.80E-06 9.42E-12 1.120E-05
5.000E-01 1.47E-07 4.41E-16 1.21E-06 1.13E-15 2.54E-08 7.57E-22 2.48E-07 1.93E-21 3.38E-11 1.13E-05 1.38E-11 1.291E-05
4.500E-01 1.74E-07 6.72E-16 1.43E-06 1.72E-15 3.13E-08 1.15E-21 2.96E-07 2.95E-21 4.18E-11 1.32E-05 2.10E-11 1.512E-05
4.000E-01 2.09E-07 1.08E-15 1.73E-06 2.76E-15 3.92E-08 1.85E-21 3.55E-07 4.72E-21 5.28E-11 1.57E-05 3.36E-11 1.804E-05
3.500E-01 2.57E-07 1.83E-15 2.14E-06 4.71E-15 5.02E-08 3.15E-21 4.45E-07 8.05E-21 6.90E-11 1.92E-05 5.72E-11 2.209E-05
3.000E-01 3.29E-07 3.40E-15 2.75E-06 8.72E-15 6.61E-08 5.84E-21 5.65E-07 1.49E-20 9.39E-11 2.42E-05 1.06E-10 2.790E-05
2.500E-01 4.40E-07 7.04E-15 3.69E-06 1.81E-14 9.03E-08 1.21E-20 7.58E-07 3.09E-20 1.35E-10 3.19E-05 2.19E-10 3.689E-05
2.098E-01 5.85E-07 1.42E-14 4.91E-06 3.65E-14 1.20E-07 2.44E-20 1.01E-06 6.22E-20 1.92E-10 4.17E-05 4.40E-10 4.836E-05
1.500E-01 1.02E-06 5.42E-14 8.49E-06 1.40E-13 2.29E-07 9.34E-20 1.73E-06 2.38E-19 3.76E-10 7.03E-05 1.68E-09 8.173E-05
1.382E-01 1.17E-06 7.52E-14 9.71E-06 1.94E-13 2.70E-07 1.30E-19 1.98E-06 3.30E-19 4.43E-10 8.00E-05 2.33E-09 9.309E-05
1.320E-01 1.26E-06 9.04E-14 1.05E-05 2.33E-13 2.95E-07 1.56E-19 2.13E-06 3.97E-19 4.85E-10 8.60E-05 2.79E-09 1.001E-04
1.150E-01 1.59E-06 1.57E-13 1.31E-05 4.04E-13 3.87E-07 2.70E-19 2.66E-06 6.88E-19 6.39E-10 1.07E-04 4.84E-09 1.248E-04
1.000E-01 2.03E-06 2.74E-13 1.65E-05 7.06E-13 5.09E-07 4.73E-19 3.32E-06 1.20E-18 8.46E-10 1.34E-04 8.44E-09 1.564E-04
9.970E-02 2.04E-06 2.77E-13 1.66E-05 7.15E-13 5.12E-07 4.78E-19 3.34E-06 1.22E-18 8.51E-10 1.35E-04 8.54E-09 1.572E-04
8.670E-02 2.57E-06 4.85E-13 2.10E-05 1.25E-12 6.77E-07 8.37E-19 4.19E-06 2.13E-18 1.13E-09 1.68E-04 1.49E-08 1.960E-04
8.500E-02 2.66E-06 5.25E-13 2.17E-05 1.35E-12 7.03E-07 9.05E-19 4.33E-06 2.30E-18 1.17E-09 1.73E-04 1.61E-08 2.027E-04
7.500E-02 3.37E-06 8.66E-13 2.66E-05 2.24E-12 8.94E-07 1.49E-18 5.28E-06 3.80E-18 1.50E-09 2.17E-04 2.66E-08 2.528E-04
6.000E-02 4.96E-06 2.11E-12 3.84E-05 5.49E-12 1.37E-06 3.65E-18 7.66E-06 9.28E-18 2.35E-09 3.08E-04 6.46E-08 3.608E-04
5.500E-02 5.75E-06 3.00E-12 4.30E-05 7.80E-12 1.62E-06 5.16E-18 8.94E-06 1.31E-17 2.80E-09 3.56E-04 9.15E-08 4.155E-04
5.000E-02 6.84E-06 4.39E-12 5.33E-05 1.15E-11 1.93E-06 7.56E-18 1.06E-05 1.92E-17 3.38E-09 4.22E-04 1.34E-07 4.950E-04
4.500E-02 8.43E-06 6.70E-12 7.06E-05 1.77E-11 2.36E-06 1.15E-17 1.30E-05 2.94E-17 4.18E-09 5.16E-04 2.04E-07 6.103E-04
4.000E-02 1.08E-05 1.07E-11 9.43E-05 2.86E-11 2.94E-06 1.85E-17 1.65E-05 4.71E-17 5.29E-09 6.49E-04 3.26E-07 7.735E-04
3.500E-02 1.36E-05 1.83E-11 1.43E-04 4.92E-11 3.77E-06 3.15E-17 2.18E-05 8.04E-17 6.91E-09 8.01E-04 5.55E-07 9.836E-04
3.000E-02 1.92E-05 3.41E-11 2.24E-04 9.15E-11 5.02E-06 5.83E-17 3.05E-05 1.49E-16 9.41E-09 1.10E-03 1.02E-06 1.378E-03
2.750E-02 2.29E-05 4.83E-11 2.82E-04 1.30E-10 5.92E-06 8.26E-17 3.73E-05 2.12E-16 1.12E-08 1.29E-03 1.45E-06 1.634E-03
2.500E-02 2.75E-05 7.10E-11 3.58E-04 1.90E-10 7.07E-06 1.21E-16 4.68E-05 3.10E-16 1.36E-08 1.54E-03 2.12E-06 1.981E-03
2.400E-02 3.02E-05 8.36E-11 3.97E-04 2.23E-10 7.65E-06 1.42E-16 5.10E-05 3.65E-16 1.47E-08 1.66E-03 2.49E-06 2.144E-03
2.000E-02 4.42E-05 1.75E-10 6.18E-04 4.55E-10 1.08E-05 2.96E-16 7.39E-05 7.56E-16 2.12E-08 2.33E-03 5.14E-06 3.085E-03
1.800E-02 5.51E-05 2.68E-10 7.67E-04 6.83E-10 1.33E-05 4.51E-16 9.19E-05 1.15E-15 2.62E-08 2.87E-03 7.83E-06 3.801E-03
1.600E-02 7.31E-05 4.32E-10 9.53E-04 1.07E-09 1.69E-05 7.24E-16 1.17E-04 1.85E-15 3.32E-08 3.62E-03 1.25E-05 4.791E-03
