 # Polarisation optical depth (Siebenmorgen 2023, A&A 670A,115; SC 2023 doi: 10.48550/arXiv.2311.03310)
 # wel         sigp_aC     sigp_Si      sigp_dark    sigt
 #----------------------------------------------------------------------------------------
   1.000E+00   4.177E-04   2.138E-04   0.000E+00   4.259E-06
   9.000E-01   4.893E-04   2.524E-04   0.000E+00   4.969E-06
   8.000E-01   5.845E-04   3.040E-04   0.000E+00   5.907E-06
   7.000E-01   7.158E-04   3.756E-04   0.000E+00   7.187E-06
   6.000E-01   9.059E-04   4.800E-04   0.000E+00   9.030E-06
   5.500E-01   1.036E-03   5.514E-04   0.000E+00   1.028E-05
   5.000E-01   1.200E-03   6.421E-04   0.000E+00   1.184E-05
   4.500E-01   1.413E-03   7.602E-04   0.000E+00   1.387E-05
   4.000E-01   1.698E-03   9.184E-04   0.000E+00   1.655E-05
   3.500E-01   2.095E-03   1.139E-03   0.000E+00   2.027E-05
   3.000E-01   2.676E-03   1.461E-03   0.000E+00   2.561E-05
   2.500E-01   3.583E-03   1.963E-03   0.000E+00   3.388E-05
   2.098E-01   4.761E-03   2.610E-03   0.000E+00   4.443E-05
   1.500E-01   8.277E-03   4.516E-03   0.000E+00   7.516E-05
   1.382E-01   9.493E-03   5.164E-03   0.000E+00   8.563E-05
   1.320E-01   1.025E-02   5.568E-03   0.000E+00   9.213E-05
   1.150E-01   1.295E-02   6.987E-03   0.000E+00   1.149E-04
   1.000E-01   1.647E-02   8.787E-03   0.000E+00   1.441E-04
   9.970E-02   1.656E-02   8.832E-03   0.000E+00   1.449E-04
   8.670E-02   2.085E-02   1.114E-02   0.000E+00   1.806E-04
   8.500E-02   2.160E-02   1.152E-02   0.000E+00   1.869E-04
   7.500E-02   2.740E-02   1.417E-02   0.000E+00   2.334E-04
   6.000E-02   4.031E-02   2.049E-02   0.000E+00   3.336E-04
   5.500E-02   4.670E-02   2.300E-02   0.000E+00   3.845E-04
   5.000E-02   5.559E-02   2.859E-02   0.000E+00   4.577E-04
   4.500E-02   6.851E-02   3.798E-02   0.000E+00   5.633E-04
   4.000E-02   8.804E-02   5.094E-02   0.000E+00   7.135E-04
   3.500E-02   1.104E-01   7.776E-02   0.000E+00   9.013E-04
   3.000E-02   1.559E-01   1.215E-01   0.000E+00   1.259E-03
   2.750E-02   1.862E-01   1.528E-01   0.000E+00   1.490E-03
   2.500E-02   2.243E-01   1.944E-01   0.000E+00   1.800E-03
   2.400E-02   2.464E-01   2.150E-01   0.000E+00   1.949E-03
   2.000E-02   3.611E-01   3.314E-01   0.000E+00   2.798E-03
   1.800E-02   4.506E-01   4.075E-01   0.000E+00   3.448E-03
   1.600E-02   6.000E-01   5.011E-01   0.000E+00   4.365E-03
   1.500E-02   7.162E-01   5.581E-01   0.000E+00   4.974E-03
   1.400E-02   8.150E-01   6.215E-01   0.000E+00   5.570E-03
   1.200E-02   1.249E+00   7.773E-01   0.000E+00   7.575E-03
   1.000E-02   1.901E+00   9.998E-01   0.000E+00   1.053E-02
   9.000E-03   2.538E+00   1.124E+00   0.000E+00   1.294E-02
   8.000E-03   3.347E+00   1.293E+00   0.000E+00   1.571E-02
   7.500E-03   3.924E+00   1.426E+00   0.000E+00   1.790E-02
   7.000E-03   4.723E+00   1.590E+00   0.000E+00   2.046E-02
   6.000E-03   6.705E+00   2.012E+00   0.000E+00   2.729E-02
   5.000E-03   9.314E+00   2.790E+00   0.000E+00   3.799E-02
   4.500E-03   1.120E+01   3.332E+00   0.000E+00   4.632E-02
   4.000E-03   1.290E+01   3.938E+00   0.000E+00   5.686E-02
   3.500E-03   1.503E+01   4.557E+00   0.000E+00   7.176E-02
   3.000E-03   1.750E+01   5.028E+00   0.000E+00   9.349E-02
   2.750E-03   1.847E+01   5.149E+00   0.000E+00   1.072E-01
   2.500E-03   1.908E+01   5.203E+00   0.000E+00   1.233E-01
   2.400E-03   1.949E+01   5.209E+00   0.000E+00   1.306E-01
   2.350E-03   1.973E+01   5.216E+00   0.000E+00   1.346E-01
   2.320E-03   1.983E+01   5.221E+00   0.000E+00   1.370E-01
   2.310E-03   1.987E+01   5.224E+00   0.000E+00   1.378E-01
   2.300E-03   1.991E+01   5.222E+00   0.000E+00   1.386E-01
   2.250E-03   2.002E+01   5.238E+00   0.000E+00   1.428E-01
   2.200E-03   2.014E+01   5.248E+00   0.000E+00   1.470E-01
   2.150E-03   2.034E+01   5.245E+00   0.000E+00   1.512E-01
   2.120E-03   2.046E+01   5.220E+00   0.000E+00   1.538E-01
   2.110E-03   2.048E+01   5.212E+00   0.000E+00   1.547E-01
   2.100E-03   2.048E+01   5.200E+00   0.000E+00   1.555E-01
   2.080E-03   2.045E+01   5.166E+00   0.000E+00   1.569E-01
   2.000E-03   2.045E+01   5.007E+00   0.000E+00   1.633E-01
   1.950E-03   2.058E+01   4.830E+00   0.000E+00   1.664E-01
   1.900E-03   2.083E+01   4.596E+00   0.000E+00   1.688E-01
   1.850E-03   2.109E+01   4.298E+00   0.000E+00   1.698E-01
   1.830E-03   2.120E+01   4.162E+00   0.000E+00   1.699E-01
   1.820E-03   2.121E+01   4.089E+00   0.000E+00   1.697E-01
   1.810E-03   2.124E+01   4.014E+00   0.000E+00   1.695E-01
   1.800E-03   2.129E+01   3.940E+00   0.000E+00   1.694E-01
   1.750E-03   2.153E+01   3.519E+00   0.000E+00   1.679E-01
   1.700E-03   2.156E+01   3.069E+00   0.000E+00   1.652E-01
