 # Optical depth (Siebenmorgen 2023, A&A 670A,115; SC 2023 doi: 10.48550/arXiv.2311.03310)
 # wel(cm) sa_aC    ss_aC    sa_Si    ss_Si    sa_vgr   ss_vgr   sa_vsi   ss_vsi   s_pahS+B sa_Dark  ss_Dark sigt 
 # ------------------------------------------------------------------------------------------------------------- 
1.000E+00 1.68E-07 1.55E-16 3.09E-07 4.48E-17 2.64E-09 2.37E-23 6.22E-08 9.97E-23 3.18E-12 9.87E-06 2.30E-12 1.041E-05
9.000E-01 1.97E-07 2.37E-16 3.64E-07 6.82E-17 3.37E-09 3.61E-23 7.39E-08 1.52E-22 3.92E-12 1.15E-05 3.50E-12 1.214E-05
8.000E-01 2.35E-07 3.79E-16 4.39E-07 1.09E-16 4.39E-09 5.79E-23 9.00E-08 2.43E-22 4.96E-12 1.36E-05 5.60E-12 1.441E-05
7.000E-01 2.88E-07 6.47E-16 5.42E-07 1.86E-16 5.89E-09 9.87E-23 1.11E-07 4.15E-22 6.48E-12 1.66E-05 9.54E-12 1.751E-05
6.000E-01 3.65E-07 1.20E-15 6.93E-07 3.45E-16 8.18E-09 1.83E-22 1.42E-07 7.69E-22 8.83E-12 2.08E-05 1.77E-11 2.197E-05
5.500E-01 4.17E-07 1.70E-15 7.96E-07 4.89E-16 9.79E-09 2.59E-22 1.64E-07 1.09E-21 1.05E-11 2.36E-05 2.50E-11 2.499E-05
5.000E-01 4.84E-07 2.48E-15 9.27E-07 7.16E-16 1.19E-08 3.79E-22 1.90E-07 1.59E-21 1.27E-11 2.72E-05 3.65E-11 2.877E-05
4.500E-01 5.70E-07 3.78E-15 1.10E-06 1.09E-15 1.46E-08 5.78E-22 2.27E-07 2.43E-21 1.57E-11 3.18E-05 5.56E-11 3.367E-05
4.000E-01 6.85E-07 6.06E-15 1.33E-06 1.75E-15 1.83E-08 9.26E-22 2.73E-07 3.89E-21 1.99E-11 3.78E-05 8.90E-11 4.013E-05
3.500E-01 8.45E-07 1.03E-14 1.64E-06 2.98E-15 2.35E-08 1.58E-21 3.41E-07 6.63E-21 2.59E-11 4.62E-05 1.52E-10 4.907E-05
3.000E-01 1.08E-06 1.91E-14 2.11E-06 5.53E-15 3.09E-08 2.93E-21 4.33E-07 1.23E-20 3.53E-11 5.83E-05 2.80E-10 6.191E-05
2.500E-01 1.45E-06 3.96E-14 2.83E-06 1.15E-14 4.21E-08 6.07E-21 5.82E-07 2.54E-20 5.08E-11 7.68E-05 5.80E-10 8.175E-05
2.098E-01 1.92E-06 7.98E-14 3.77E-06 2.31E-14 5.60E-08 1.22E-20 7.74E-07 5.13E-20 7.22E-11 1.01E-04 1.17E-09 1.070E-04
1.500E-01 3.34E-06 3.05E-13 6.52E-06 8.85E-14 1.07E-07 4.68E-20 1.32E-06 1.96E-19 1.41E-10 1.69E-04 4.45E-09 1.805E-04
1.382E-01 3.83E-06 4.23E-13 7.46E-06 1.23E-13 1.26E-07 6.50E-20 1.52E-06 2.72E-19 1.66E-10 1.93E-04 6.16E-09 2.055E-04
1.320E-01 4.14E-06 5.09E-13 8.04E-06 1.48E-13 1.38E-07 7.81E-20 1.63E-06 3.27E-19 1.82E-10 2.07E-04 7.40E-09 2.210E-04
1.150E-01 5.23E-06 8.83E-13 1.01E-05 2.56E-13 1.81E-07 1.36E-19 2.04E-06 5.66E-19 2.40E-10 2.58E-04 1.28E-08 2.754E-04
1.000E-01 6.65E-06 1.54E-12 1.27E-05 4.48E-13 2.38E-07 2.37E-19 2.55E-06 9.90E-19 3.18E-10 3.23E-04 2.24E-08 3.450E-04
