 # Polarisation optical depth (Siebenmorgen 2023, A&A 670A,115; SC 2023 doi: 10.48550/arXiv.2311.03310)
 # wel         sigp_aC     sigp_Si      sigp_dark    sigt
 #----------------------------------------------------------------------------------------
   1.000E+00   3.866E-03   1.725E-03   0.000E+00   9.159E-07
   9.000E-01   4.528E-03   2.036E-03   0.000E+00   1.080E-06
   8.000E-01   5.409E-03   2.453E-03   0.000E+00   1.300E-06
   7.000E-01   6.624E-03   3.030E-03   0.000E+00   1.601E-06
   6.000E-01   8.383E-03   3.872E-03   0.000E+00   2.042E-06
   5.500E-01   9.583E-03   4.448E-03   0.000E+00   2.344E-06
   5.000E-01   1.110E-02   5.181E-03   0.000E+00   2.724E-06
   4.500E-01   1.308E-02   6.133E-03   0.000E+00   3.224E-06
   4.000E-01   1.572E-02   7.410E-03   0.000E+00   3.886E-06
   3.500E-01   1.939E-02   9.188E-03   0.000E+00   4.820E-06
   3.000E-01   2.476E-02   1.178E-02   0.000E+00   6.162E-06
   2.500E-01   3.316E-02   1.584E-02   0.000E+00   8.272E-06
   2.098E-01   4.406E-02   2.106E-02   0.000E+00   1.100E-05
   1.500E-01   7.660E-02   3.644E-02   0.000E+00   1.907E-05
   1.382E-01   8.785E-02   4.166E-02   0.000E+00   2.186E-05
   1.320E-01   9.490E-02   4.492E-02   0.000E+00   2.358E-05
   1.150E-01   1.199E-01   5.637E-02   0.000E+00   2.968E-05
   1.000E-01   1.524E-01   7.089E-02   0.000E+00   3.749E-05
   9.970E-02   1.532E-01   7.125E-02   0.000E+00   3.769E-05
   8.670E-02   1.930E-01   8.989E-02   0.000E+00   4.752E-05
   8.500E-02   1.999E-01   9.291E-02   0.000E+00   4.915E-05
   7.500E-02   2.536E-01   1.143E-01   0.000E+00   6.120E-05
   6.000E-02   3.730E-01   1.653E-01   0.000E+00   8.927E-05
   5.500E-02   4.322E-01   1.855E-01   0.000E+00   1.022E-04
   5.000E-02   5.144E-01   2.306E-01   0.000E+00   1.236E-04
   4.500E-02   6.340E-01   3.064E-01   0.000E+00   1.565E-04
   4.000E-02   8.147E-01   4.110E-01   0.000E+00   2.036E-04
   3.500E-02   1.022E+00   6.274E-01   0.000E+00   2.804E-04
   3.000E-02   1.443E+00   9.799E-01   0.000E+00   4.141E-04
   2.750E-02   1.723E+00   1.233E+00   0.000E+00   5.089E-04
   2.500E-02   2.076E+00   1.568E+00   0.000E+00   6.337E-04
   2.400E-02   2.280E+00   1.735E+00   0.000E+00   6.980E-04
