# Title: Distances to 1.47 billion stars in Gaia EDR3 (Bailer-Jones+, 2021)
#Column	_1	(A40)	Name of star
#Column	rgeo	(F15.8)	 Median of the geometric distance posterior (r_med_geo)	
#Column	b_rgeo	(F14.8)	 16th percentile of the geometric distance posterior (r_lo_geo)
#Column	B_rgeo	(F14.8)	 84th percentile of the geometric distance posterior (r_hi_geo)
#Column	rpgeo	(F15.8)	 Median of the photogeometric distance posterior (r_med_photogeo)
#Column	b_rpgeo	(F14.8)	 16th percentile of the photogeometric distance posterior (r_lo_photogeo)
#Column	B_rpgeo	(F14.8)	 84th percentile of the photogeometric distance posterior (r_hi_photogeo)
#Column	Flag	(I5)	 Flag (flag) 
#Star	rgeo	b_rgeo	B_rgeo	rpgeo	b_rpgeo	B_rpgeo	Flag
# 	pc	pc	pc	pc	pc	pc	
#12 -----------------------------------------------------------------------------------------------------------------
HD030470  	   535.84216300	  521.63824500	  552.77038600	   532.36840800	  515.99328600	  550.14215100	10022
HD030492  	   430.70718400	  422.37783800	  439.63070700	   431.65713500	  424.76342800	  440.80294800	10022
HD038023  	   412.52365100	  408.95370500	  416.58737200	   413.04812600	  410.26867700	  416.28314200	10022
HD046223  	  1390.44556000	 1334.10608000	 1439.20117000	  1384.63989000	 1328.49207000	 1444.58093000	10033
HD054439  	  1008.63092000	  972.25921600	 1058.78711000	   992.44805900	  959.64837600	 1032.64551000	10023
HD062542  	   365.88125600	  363.77944900	  368.08221400	   365.16323900	  362.80419900	  367.37225300	10033
HD092044  	  2326.42139000	 2205.37085000	 2442.77319000	  2350.54443000	 2226.75439000	 2486.79639000	10033
HD096675  	   162.25512700	  161.00097700	  163.33270300	   162.30058300	  161.07244900	  163.34288000	10022
HD101008  	  2411.67578000	 2308.18506000	 2555.91016000	  2288.69971000	 2197.51489000	 2363.18115000	10013
HD108927  	   335.41622900	  332.25158700	  338.82824700	   334.43402100	  331.45474200	  339.40173300	10012
HD110336  	   308.52737400	  307.31417800	  309.77322400	   308.48065200	  307.13867200	  309.66607700	10013
HD110715  	   517.68127400	  509.06692500	  528.09338400	   521.23242200	  511.73712200	  529.06311000	10033
HD110946  	  2047.48340000	 1992.75293000	 2110.26489000	  2070.75635000	 2014.53430000	 2131.16357000	10033
HD112607  	   589.86633300	  582.15905800	  595.86334200	   589.85199000	  582.71734600	  596.97161900	10033
HD112954  	   380.53378300	  378.39761400	  382.95544400	   381.99508700	  379.31909200	  384.64334100	10033
HD129557  	   408.59170500	  402.16958600	  414.78448500	   408.93353300	  402.81103500	  415.46810900	10012
HD146284  	   201.95349100	  200.84202600	  203.21600300	   201.95828200	  200.74011200	  203.31001300	10022
HD146285  	   155.01161200	  154.36778300	  155.63305700	   154.75795000	  154.01049800	  155.37468000	10022
HD147196  	   137.40846300	  136.91142300	  137.90263400	   137.29538000	  136.84332300	  137.85763500	10022
HD148579  	   139.57099900	  138.12696800	  140.70210300	   139.44931000	  137.72409100	  140.98910500	10011
HD148594  	   182.20561200	  181.25282300	  182.93541000	   182.20323200	  181.09930400	  183.00047300	10022
HD152249  	  1466.86987000	 1413.95129000	 1518.31714000	  1459.32983000	 1408.79285000	 1505.58765000	10033
HD156247  	   233.53891000	  229.02648900	  237.72969100	   233.04629500	  228.26522800	  237.62022400	10022
HD164402  	   755.96783400	  659.16973900	  866.36248800	   804.93890400	  722.85559100	  904.13873300	10011
HD167264  	  1176.83801000	  995.81469700	 1523.85999000	  1227.62866000	 1019.15424000	 1473.08557000	10011
HD167771  	  1465.17798000	 1398.15369000	 1537.38220000	  1480.75940000	 1403.12854000	 1567.20886000	10033
HD287150  	   399.48278800	  396.73016400	  401.50289900	   398.69143700	  396.11331200	  401.12316900	10022
HD294304  	   741.79205300	  731.12963900	  751.01660200	   739.47869900	  730.03082300	  748.48474100	10012
HD315021  	  1377.28833000	 1309.91113000	 1455.51660000	  1360.40320000	 1306.40735000	 1421.68079000	10011
HD315023  	  1249.67749000	 1211.71008000	 1285.55554000	  1246.76636000	 1212.82935000	 1277.91077000	10033
HD315024  	  1307.75073000	 1270.55615000	 1351.12390000	  1281.41394000	 1237.81848000	 1328.45496000	10011
HD315032  	  1330.31323000	 1283.42456000	 1384.54749000	  1325.77234000	 1285.90857000	 1372.82532000	10011
