 # Optical depth (Siebenmorgen 2023, A&A 670A,115; SC 2023 doi: 10.48550/arXiv.2311.03310)
 # wel(cm) sa_aC    ss_aC    sa_Si    ss_Si    sa_vgr   ss_vgr   sa_vsi   ss_vsi   s_pahS+B sa_Dark  ss_Dark sigt
 # --------------------------------------------------------------------------------------------------------------
 1.000E+00 1.75E-07 1.01E-16 3.00E-07 5.64E-17 7.60E-09 6.67E-23 6.51E-08 1.02E-22 3.30E-12 6.82E-06 1.53E-12 7.363E-06
 2.159E-04 3.92E-02 6.18E-03 2.21E-04 4.69E-03 6.12E-03 2.14E-08 2.98E-03 1.10E-08 3.39E-05 2.32E-01 3.74E-01 6.660E-01
 1.662E-04 4.85E-02 1.62E-02 1.60E-04 1.32E-02 9.15E-03 5.97E-08 3.66E-03 3.16E-08 6.75E-05 2.41E-01 3.85E-01 7.171E-01
 1.235E-04 6.60E-02 4.38E-02 1.45E-04 3.93E-02 1.45E-02 1.91E-07 4.72E-03 1.04E-07 1.59E-04 2.50E-01 3.85E-01 8.040E-01
 5.477E-05 2.02E-01 2.11E-01 5.36E-04 4.10E-01 5.10E-02 4.53E-06 1.02E-02 2.72E-06 1.65E-03 2.75E-01 3.25E-01 1.487E+00
 4.440E-05 2.51E-01 2.18E-01 9.99E-04 6.07E-01 7.24E-02 1.06E-05 1.24E-02 6.38E-06 3.04E-03 2.76E-01 3.05E-01 1.745E+00
 3.656E-05 2.82E-01 2.15E-01 3.41E-03 7.92E-01 1.03E-01 2.39E-05 1.48E-02 1.43E-05 6.18E-03 2.72E-01 2.94E-01 1.982E+00
 2.780E-05 3.03E-01 2.09E-01 1.25E-02 9.63E-01 1.94E-01 9.22E-05 1.85E-02 4.59E-05 3.17E-02 2.64E-01 2.87E-01 2.282E+00
 2.630E-05 3.04E-01 2.08E-01 1.48E-02 9.76E-01 2.37E-01 1.31E-04 1.92E-02 5.87E-05 5.59E-02 2.62E-01 2.87E-01 2.364E+00
 2.500E-05 3.05E-01 2.07E-01 1.75E-02 9.81E-01 2.95E-01 1.91E-04 1.99E-02 7.37E-05 1.10E-01 2.61E-01 2.86E-01 2.484E+00
