 # Optical depth (Siebenmorgen 2023, A&A 670A,115; SC 2023 doi: 10.48550/arXiv.2311.03310)
 # wel(cm) sa_aC    ss_aC    sa_Si    ss_Si    sa_vgr   ss_vgr   sa_vsi   ss_vsi   s_pahS+B sa_Dark  ss_Dark sigt 
 # ------------------------------------------------------------------------------------------------------------- 
1.000E+00 2.67E-03 2.11E-12 3.59E-03 5.96E-13 1.01E-04 8.98E-19 7.68E-04 1.22E-18 3.37E-08 4.66E-02 1.07E-08 5.370E-02
9.000E-01 3.13E-03 3.22E-12 4.23E-03 9.09E-13 1.28E-04 1.37E-18 9.13E-04 1.86E-18 4.16E-08 5.42E-02 1.63E-08 6.265E-02
8.000E-01 3.74E-03 5.15E-12 5.10E-03 1.46E-12 1.68E-04 2.19E-18 1.11E-03 2.98E-18 5.27E-08 6.44E-02 2.62E-08 7.450E-02
7.000E-01 4.58E-03 8.79E-12 6.30E-03 2.48E-12 2.25E-04 3.74E-18 1.37E-03 5.09E-18 6.88E-08 7.82E-02 4.46E-08 9.064E-02
6.000E-01 5.80E-03 1.63E-11 8.05E-03 4.60E-12 3.12E-04 6.93E-18 1.76E-03 9.42E-18 9.37E-08 9.80E-02 8.24E-08 1.139E-01
5.500E-01 6.63E-03 2.30E-11 9.25E-03 6.52E-12 3.73E-04 9.81E-18 2.03E-03 1.33E-17 1.11E-07 1.11E-01 1.17E-07 1.296E-01
5.000E-01 7.68E-03 3.37E-11 1.08E-02 9.54E-12 4.53E-04 1.44E-17 2.35E-03 1.95E-17 1.35E-07 1.28E-01 1.71E-07 1.494E-01
4.500E-01 9.05E-03 5.14E-11 1.28E-02 1.45E-11 5.57E-04 2.19E-17 2.80E-03 2.98E-17 1.66E-07 1.50E-01 2.60E-07 1.750E-01
4.000E-01 1.09E-02 8.23E-11 1.54E-02 2.33E-11 6.98E-04 3.51E-17 3.37E-03 4.77E-17 2.11E-07 1.78E-01 4.16E-07 2.088E-01
3.500E-01 1.34E-02 1.40E-10 1.91E-02 3.97E-11 8.95E-04 5.98E-17 4.21E-03 8.13E-17 2.75E-07 2.18E-01 7.08E-07 2.557E-01
3.000E-01 1.71E-02 2.60E-10 2.45E-02 7.36E-11 1.18E-03 1.11E-16 5.35E-03 1.51E-16 3.75E-07 2.75E-01 1.31E-06 3.230E-01
2.500E-01 2.30E-02 5.38E-10 3.29E-02 1.53E-10 1.61E-03 2.30E-16 7.18E-03 3.12E-16 5.39E-07 3.63E-01 2.71E-06 4.273E-01
2.098E-01 3.05E-02 1.08E-09 4.38E-02 3.08E-10 2.14E-03 4.63E-16 9.55E-03 6.29E-16 7.66E-07 4.74E-01 5.45E-06 5.603E-01
1.500E-01 5.31E-02 4.15E-09 7.58E-02 1.18E-09 4.08E-03 1.77E-15 1.64E-02 2.40E-15 1.50E-06 7.98E-01 2.08E-05 9.478E-01
1.382E-01 6.09E-02 5.75E-09 8.66E-02 1.63E-09 4.81E-03 2.46E-15 1.88E-02 3.33E-15 1.77E-06 9.09E-01 2.88E-05 1.080E+00
1.320E-01 6.58E-02 6.91E-09 9.34E-02 1.96E-09 5.26E-03 2.96E-15 2.02E-02 4.00E-15 1.94E-06 9.77E-01 3.46E-05 1.162E+00
1.150E-01 8.31E-02 1.20E-08 1.17E-01 3.41E-09 6.90E-03 5.13E-15 2.52E-02 6.95E-15 2.55E-06 1.22E+00 5.99E-05 1.449E+00
1.000E-01 1.06E-01 2.10E-08 1.47E-01 5.96E-09 9.06E-03 8.97E-15 3.15E-02 1.21E-14 3.37E-06 1.52E+00 1.05E-04 1.817E+00
9.970E-02 1.06E-01 2.12E-08 1.48E-01 6.04E-09 9.12E-03 9.08E-15 3.16E-02 1.23E-14 3.39E-06 1.53E+00 1.06E-04 1.826E+00
8.670E-02 1.34E-01 3.71E-08 1.87E-01 1.06E-08 1.21E-02 1.59E-14 3.97E-02 2.15E-14 4.49E-06 1.90E+00 1.85E-04 2.278E+00
8.500E-02 1.39E-01 4.02E-08 1.93E-01 1.14E-08 1.25E-02 1.72E-14 4.10E-02 2.33E-14 4.67E-06 1.97E+00 2.00E-04 2.356E+00
7.500E-02 1.76E-01 6.63E-08 2.38E-01 1.89E-08 1.59E-02 2.84E-14 5.00E-02 3.84E-14 6.00E-06 2.46E+00 3.29E-04 2.942E+00
6.000E-02 2.59E-01 1.62E-07 3.43E-01 4.63E-08 2.45E-02 6.92E-14 7.26E-02 9.37E-14 9.37E-06 3.50E+00 8.00E-04 4.204E+00
5.500E-02 3.00E-01 2.29E-07 3.84E-01 6.59E-08 2.89E-02 9.80E-14 8.47E-02 1.33E-13 1.12E-05 4.05E+00 1.13E-03 4.846E+00
