 # Optical depth (Siebenmorgen 2023, A&A 670A,115; SC 2023 doi: 10.48550/arXiv.2311.03310)
 # wel(cm) sa_aC    ss_aC    sa_Si    ss_Si    sa_vgr   ss_vgr   sa_vsi   ss_vsi   s_pahS+B sa_Dark  ss_Dark sigt 
 # ------------------------------------------------------------------------------------------------------------- 
1.000E+00 2.28E-03 2.93E-12 3.89E-03 3.26E-13 8.58E-05 7.13E-19 7.45E-04 1.11E-18 5.56E-08 4.66E-02 1.35E-09 5.358E-02
9.000E-01 2.68E-03 4.46E-12 4.59E-03 4.97E-13 1.09E-04 1.09E-18 8.86E-04 1.68E-18 6.86E-08 5.42E-02 2.06E-09 6.251E-02
8.000E-01 3.20E-03 7.14E-12 5.53E-03 7.96E-13 1.43E-04 1.74E-18 1.08E-03 2.70E-18 8.68E-08 6.44E-02 3.30E-09 7.433E-02
7.000E-01 3.92E-03 1.22E-11 6.83E-03 1.36E-12 1.91E-04 2.97E-18 1.33E-03 4.60E-18 1.13E-07 7.82E-02 5.63E-09 9.043E-02
6.000E-01 4.96E-03 2.25E-11 8.73E-03 2.51E-12 2.66E-04 5.50E-18 1.71E-03 8.52E-18 1.54E-07 9.80E-02 1.04E-08 1.136E-01
5.500E-01 5.67E-03 3.19E-11 1.00E-02 3.56E-12 3.18E-04 7.79E-18 1.97E-03 1.21E-17 1.84E-07 1.11E-01 1.47E-08 1.293E-01
5.000E-01 6.56E-03 4.67E-11 1.17E-02 5.21E-12 3.86E-04 1.14E-17 2.28E-03 1.77E-17 2.22E-07 1.28E-01 2.15E-08 1.490E-01
4.500E-01 7.73E-03 7.12E-11 1.38E-02 7.95E-12 4.75E-04 1.74E-17 2.72E-03 2.69E-17 2.74E-07 1.50E-01 3.28E-08 1.746E-01
4.000E-01 9.29E-03 1.14E-10 1.67E-02 1.27E-11 5.95E-04 2.78E-17 3.27E-03 4.31E-17 3.47E-07 1.78E-01 5.25E-08 2.083E-01
3.500E-01 1.15E-02 1.94E-10 2.07E-02 2.17E-11 7.63E-04 4.75E-17 4.09E-03 7.35E-17 4.54E-07 2.18E-01 8.94E-08 2.551E-01
3.000E-01 1.46E-02 3.60E-10 2.66E-02 4.02E-11 1.00E-03 8.80E-17 5.19E-03 1.36E-16 6.18E-07 2.75E-01 1.65E-07 3.222E-01
2.500E-01 1.96E-02 7.46E-10 3.57E-02 8.34E-11 1.37E-03 1.82E-16 6.97E-03 2.82E-16 8.89E-07 3.62E-01 3.42E-07 4.261E-01
2.098E-01 2.61E-02 1.50E-09 4.75E-02 1.68E-10 1.82E-03 3.68E-16 9.27E-03 5.68E-16 1.26E-06 4.74E-01 6.88E-07 5.587E-01
1.500E-01 4.54E-02 5.75E-09 8.21E-02 6.44E-10 3.48E-03 1.41E-15 1.59E-02 2.17E-15 2.47E-06 7.98E-01 2.62E-06 9.447E-01
