 # Polarisation optical depth (Siebenmorgen 2023, A&A 670A,115; SC 2023 doi: 10.48550/arXiv.2311.03310)
 # wel         sigp_aC     sigp_Si      sigp_dark    sigt
 #----------------------------------------------------------------------------------------
   1.000E+00   5.439E-04   4.699E-04   0.000E+00   7.363E-06
   9.000E-01   6.370E-04   5.547E-04   0.000E+00   8.584E-06
   8.000E-01   7.609E-04   6.682E-04   0.000E+00   1.020E-05
   7.000E-01   9.319E-04   8.256E-04   0.000E+00   1.240E-05
   6.000E-01   1.179E-03   1.055E-03   0.000E+00   1.556E-05
   5.500E-01   1.348E-03   1.212E-03   0.000E+00   1.770E-05
   5.000E-01   1.562E-03   1.411E-03   0.000E+00   2.039E-05
   4.500E-01   1.840E-03   1.671E-03   0.000E+00   2.386E-05
   4.000E-01   2.211E-03   2.019E-03   0.000E+00   2.845E-05
   3.500E-01   2.728E-03   2.503E-03   0.000E+00   3.481E-05
   3.000E-01   3.483E-03   3.211E-03   0.000E+00   4.394E-05
   2.500E-01   4.665E-03   4.315E-03   0.000E+00   5.804E-05
   2.098E-01   6.198E-03   5.736E-03   0.000E+00   7.603E-05
   1.500E-01   1.078E-02   9.927E-03   0.000E+00   1.283E-04
   1.382E-01   1.236E-02   1.135E-02   0.000E+00   1.461E-04
   1.320E-01   1.335E-02   1.224E-02   0.000E+00   1.572E-04
   1.150E-01   1.686E-02   1.536E-02   0.000E+00   1.959E-04
   1.000E-01   2.145E-02   1.931E-02   0.000E+00   2.455E-04
   9.970E-02   2.156E-02   1.941E-02   0.000E+00   2.467E-04
   8.670E-02   2.715E-02   2.449E-02   0.000E+00   3.074E-04
   8.500E-02   2.812E-02   2.531E-02   0.000E+00   3.180E-04
   7.500E-02   3.568E-02   3.114E-02   0.000E+00   3.971E-04
   6.000E-02   5.247E-02   4.504E-02   0.000E+00   5.666E-04
   5.500E-02   6.080E-02   5.055E-02   0.000E+00   6.534E-04
   5.000E-02   7.238E-02   6.284E-02   0.000E+00   7.768E-04
   4.500E-02   8.920E-02   8.348E-02   0.000E+00   9.534E-04
   4.000E-02   1.146E-01   1.120E-01   0.000E+00   1.204E-03
   3.500E-02   1.437E-01   1.709E-01   0.000E+00   1.509E-03
   3.000E-02   2.030E-01   2.670E-01   0.000E+00   2.094E-03
   2.750E-02   2.424E-01   3.359E-01   0.000E+00   2.468E-03
   2.500E-02   2.920E-01   4.272E-01   0.000E+00   2.973E-03
   2.400E-02   3.207E-01   4.726E-01   0.000E+00   3.211E-03
   2.000E-02   4.701E-01   7.285E-01   0.000E+00   4.580E-03
   1.800E-02   5.866E-01   8.957E-01   0.000E+00   5.640E-03
   1.600E-02   7.812E-01   1.101E+00   0.000E+00   7.127E-03
   1.500E-02   9.325E-01   1.227E+00   0.000E+00   8.106E-03
   1.400E-02   1.061E+00   1.366E+00   0.000E+00   9.065E-03
   1.200E-02   1.626E+00   1.709E+00   0.000E+00   1.228E-02
   1.000E-02   2.474E+00   2.198E+00   0.000E+00   1.700E-02
   9.000E-03   3.304E+00   2.470E+00   0.000E+00   2.083E-02
   8.000E-03   4.358E+00   2.843E+00   0.000E+00   2.513E-02
   7.500E-03   5.108E+00   3.135E+00   0.000E+00   2.861E-02
   7.000E-03   6.148E+00   3.494E+00   0.000E+00   3.254E-02
   6.000E-03   8.730E+00   4.422E+00   0.000E+00   4.315E-02
   5.000E-03   1.213E+01   6.132E+00   0.000E+00   5.987E-02
   4.500E-03   1.459E+01   7.324E+00   0.000E+00   7.295E-02
   4.000E-03   1.679E+01   8.656E+00   0.000E+00   8.992E-02
   3.500E-03   1.957E+01   1.002E+01   0.000E+00   1.144E-01
   3.000E-03   2.279E+01   1.105E+01   0.000E+00   1.506E-01
   2.750E-03   2.405E+01   1.132E+01   0.000E+00   1.739E-01
   2.500E-03   2.484E+01   1.144E+01   0.000E+00   2.017E-01
   2.400E-03   2.537E+01   1.145E+01   0.000E+00   2.143E-01
