 # Optical depth (Siebenmorgen 2023, A&A 670A,115; SC 2023 doi: 10.48550/arXiv.2311.03310)
 # wel(cm) sa_aC    ss_aC    sa_Si    ss_Si    sa_vgr   ss_vgr   sa_vsi   ss_vsi   s_pahS+B sa_Dark  ss_Dark sigt 
 # ------------------------------------------------------------------------------------------------------------- 
1.000E+00 1.65E-07 9.15E-17 6.41E-07 1.16E-16 1.53E-08 1.31E-22 2.01E-07 3.07E-22 6.91E-12 7.73E-06 1.68E-12 8.751E-06
9.000E-01 1.93E-07 1.39E-16 7.57E-07 1.77E-16 1.95E-08 1.99E-22 2.39E-07 4.68E-22 8.54E-12 9.00E-06 2.56E-12 1.021E-05
8.000E-01 2.31E-07 2.23E-16 9.11E-07 2.84E-16 2.55E-08 3.19E-22 2.91E-07 7.49E-22 1.08E-11 1.07E-05 4.10E-12 1.214E-05
7.000E-01 2.82E-07 3.81E-16 1.13E-06 4.84E-16 3.41E-08 5.45E-22 3.58E-07 1.28E-21 1.41E-11 1.30E-05 6.98E-12 1.477E-05
6.000E-01 3.58E-07 7.05E-16 1.44E-06 8.96E-16 4.74E-08 1.01E-21 4.60E-07 2.37E-21 1.92E-11 1.63E-05 1.29E-11 1.856E-05
5.500E-01 4.09E-07 9.99E-16 1.65E-06 1.27E-15 5.68E-08 1.43E-21 5.31E-07 3.35E-21 2.29E-11 1.85E-05 1.83E-11 2.113E-05
5.000E-01 4.74E-07 1.46E-15 1.92E-06 1.86E-15 6.88E-08 2.09E-21 6.15E-07 4.90E-21 2.77E-11 2.13E-05 2.67E-11 2.435E-05
4.500E-01 5.58E-07 2.23E-15 2.28E-06 2.83E-15 8.47E-08 3.19E-21 7.33E-07 7.47E-21 3.41E-11 2.49E-05 4.07E-11 2.852E-05
4.000E-01 6.71E-07 3.57E-15 2.75E-06 4.54E-15 1.06E-07 5.11E-21 8.81E-07 1.20E-20 4.32E-11 2.96E-05 6.52E-11 3.403E-05
3.500E-01 8.27E-07 6.08E-15 3.41E-06 7.74E-15 1.36E-07 8.72E-21 1.10E-06 2.04E-20 5.64E-11 3.62E-05 1.11E-10 4.167E-05
3.000E-01 1.06E-06 1.13E-14 4.38E-06 1.43E-14 1.79E-07 1.62E-20 1.40E-06 3.78E-20 7.68E-11 4.56E-05 2.05E-10 5.263E-05
2.500E-01 1.42E-06 2.33E-14 5.88E-06 2.97E-14 2.44E-07 3.35E-20 1.88E-06 7.83E-20 1.11E-10 6.02E-05 4.25E-10 6.959E-05
2.098E-01 1.88E-06 4.70E-14 7.82E-06 6.00E-14 3.25E-07 6.75E-20 2.50E-06 1.58E-19 1.57E-10 7.87E-05 8.54E-10 9.123E-05
1.500E-01 3.27E-06 1.80E-13 1.35E-05 2.30E-13 6.20E-07 2.58E-19 4.28E-06 6.03E-19 3.07E-10 1.32E-04 3.25E-09 1.542E-04
1.382E-01 3.75E-06 2.49E-13 1.55E-05 3.19E-13 7.31E-07 3.59E-19 4.91E-06 8.37E-19 3.62E-10 1.51E-04 4.51E-09 1.757E-04
1.320E-01 4.05E-06 3.00E-13 1.67E-05 3.83E-13 8.00E-07 4.31E-19 5.28E-06 1.01E-18 3.97E-10 1.62E-04 5.42E-09 1.889E-04
1.150E-01 5.12E-06 5.20E-13 2.09E-05 6.64E-13 1.05E-06 7.48E-19 6.60E-06 1.74E-18 5.23E-10 2.02E-04 9.38E-09 2.356E-04
1.000E-01 6.52E-06 9.09E-13 2.63E-05 1.16E-12 1.38E-06 1.31E-18 8.24E-06 3.05E-18 6.92E-10 2.53E-04 1.64E-08 2.953E-04
9.970E-02 6.55E-06 9.20E-13 2.65E-05 1.18E-12 1.39E-06 1.32E-18 8.28E-06 3.09E-18 6.96E-10 2.54E-04 1.66E-08 2.967E-04
8.670E-02 8.25E-06 1.61E-12 3.34E-05 2.06E-12 1.83E-06 2.31E-18 1.04E-05 5.39E-18 9.20E-10 3.16E-04 2.89E-08 3.700E-04
8.500E-02 8.54E-06 1.74E-12 3.45E-05 2.23E-12 1.90E-06 2.51E-18 1.07E-05 5.84E-18 9.57E-10 3.27E-04 3.13E-08 3.826E-04
7.500E-02 1.08E-05 2.87E-12 4.24E-05 3.68E-12 2.42E-06 4.13E-18 1.31E-05 9.63E-18 1.23E-09 4.08E-04 5.16E-08 4.773E-04
6.000E-02 1.60E-05 7.01E-12 6.12E-05 9.02E-12 3.72E-06 1.01E-17 1.90E-05 2.35E-17 1.92E-09 5.81E-04 1.25E-07 6.815E-04
5.500E-02 1.85E-05 9.93E-12 6.86E-05 1.28E-11 4.39E-06 1.43E-17 2.22E-05 3.33E-17 2.29E-09 6.71E-04 1.77E-07 7.852E-04
5.000E-02 2.20E-05 1.46E-11 8.50E-05 1.89E-11 5.23E-06 2.09E-17 2.64E-05 4.88E-17 2.77E-09 7.96E-04 2.60E-07 9.350E-04
4.500E-02 2.71E-05 2.22E-11 1.13E-04 2.91E-11 6.39E-06 3.19E-17 3.23E-05 7.44E-17 3.42E-09 9.73E-04 3.96E-07 1.151E-03
4.000E-02 3.48E-05 3.56E-11 1.50E-04 4.70E-11 7.96E-06 5.11E-17 4.08E-05 1.19E-16 4.33E-09 1.22E-03 6.32E-07 1.458E-03
3.500E-02 4.37E-05 6.08E-11 2.29E-04 8.09E-11 1.02E-05 8.71E-17 5.40E-05 2.04E-16 5.65E-09 1.51E-03 1.08E-06 1.847E-03
3.000E-02 6.16E-05 1.13E-10 3.57E-04 1.50E-10 1.36E-05 1.61E-16 7.58E-05 3.78E-16 7.70E-09 2.07E-03 1.99E-06 2.582E-03
2.750E-02 7.35E-05 1.60E-10 4.49E-04 2.13E-10 1.60E-05 2.29E-16 9.25E-05 5.37E-16 9.16E-09 2.42E-03 2.81E-06 3.058E-03
2.500E-02 8.85E-05 2.35E-10 5.71E-04 3.12E-10 1.91E-05 3.35E-16 1.16E-04 7.86E-16 1.11E-08 2.90E-03 4.11E-06 3.702E-03
2.400E-02 9.72E-05 2.77E-10 6.32E-04 3.67E-10 2.07E-05 3.94E-16 1.27E-04 9.25E-16 1.20E-08 3.12E-03 4.82E-06 4.005E-03
2.000E-02 1.42E-04 5.79E-10 9.85E-04 7.49E-10 2.93E-05 8.19E-16 1.83E-04 1.92E-15 1.74E-08 4.40E-03 9.97E-06 5.752E-03
1.800E-02 1.77E-04 8.88E-10 1.22E-03 1.12E-09 3.60E-05 1.25E-15 2.28E-04 2.92E-15 2.15E-08 5.41E-03 1.52E-05 7.087E-03
1.600E-02 2.35E-04 1.43E-09 1.52E-03 1.76E-09 4.56E-05 2.00E-15 2.91E-04 4.68E-15 2.72E-08 6.83E-03 2.42E-05 8.943E-03
1.500E-02 2.80E-04 1.86E-09 1.70E-03 2.25E-09 5.19E-05 2.60E-15 3.30E-04 6.07E-15 3.10E-08 7.76E-03 3.11E-05 1.016E-02
1.400E-02 3.19E-04 2.46E-09 1.91E-03 2.93E-09 6.00E-05 3.43E-15 3.81E-04 8.00E-15 3.56E-08 8.65E-03 4.10E-05 1.137E-02
1.200E-02 4.87E-04 4.61E-09 2.44E-03 5.25E-09 8.34E-05 6.38E-15 5.22E-04 1.48E-14 4.86E-08 1.17E-02 7.48E-05 1.531E-02
