 # Polarisation optical depth (Siebenmorgen 2023, A&A 670A,115; SC 2023 doi: 10.48550/arXiv.2311.03310)
 # wel         sigp_aC     sigp_Si      sigp_dark    sigt
 #----------------------------------------------------------------------------------------
   1.000E+00   3.422E-04   5.097E-04   0.000E+00   7.667E-06
   9.000E-01   4.008E-04   6.018E-04   0.000E+00   8.937E-06
   8.000E-01   4.788E-04   7.249E-04   0.000E+00   1.062E-05
   7.000E-01   5.863E-04   8.956E-04   0.000E+00   1.290E-05
   6.000E-01   7.420E-04   1.144E-03   0.000E+00   1.619E-05
   5.500E-01   8.482E-04   1.315E-03   0.000E+00   1.842E-05
   5.000E-01   9.827E-04   1.531E-03   0.000E+00   2.121E-05
   4.500E-01   1.157E-03   1.813E-03   0.000E+00   2.482E-05
   4.000E-01   1.391E-03   2.190E-03   0.000E+00   2.959E-05
   3.500E-01   1.716E-03   2.715E-03   0.000E+00   3.619E-05
   3.000E-01   2.192E-03   3.483E-03   0.000E+00   4.566E-05
   2.500E-01   2.935E-03   4.680E-03   0.000E+00   6.031E-05
   2.098E-01   3.900E-03   6.223E-03   0.000E+00   7.898E-05
   1.500E-01   6.780E-03   1.077E-02   0.000E+00   1.332E-04
   1.382E-01   7.776E-03   1.231E-02   0.000E+00   1.517E-04
   1.320E-01   8.400E-03   1.328E-02   0.000E+00   1.632E-04
   1.150E-01   1.061E-02   1.666E-02   0.000E+00   2.033E-04
   1.000E-01   1.349E-02   2.095E-02   0.000E+00   2.547E-04
   9.970E-02   1.356E-02   2.106E-02   0.000E+00   2.560E-04
   8.670E-02   1.708E-02   2.657E-02   0.000E+00   3.189E-04
   8.500E-02   1.769E-02   2.746E-02   0.000E+00   3.298E-04
   7.500E-02   2.245E-02   3.378E-02   0.000E+00   4.119E-04
   6.000E-02   3.302E-02   4.886E-02   0.000E+00   5.873E-04
   5.500E-02   3.826E-02   5.483E-02   0.000E+00   6.775E-04
   5.000E-02   4.554E-02   6.816E-02   0.000E+00   8.053E-04
   4.500E-02   5.612E-02   9.055E-02   0.000E+00   9.880E-04
   4.000E-02   7.212E-02   1.215E-01   0.000E+00   1.247E-03
   3.500E-02   9.043E-02   1.854E-01   0.000E+00   1.561E-03
   3.000E-02   1.277E-01   2.896E-01   0.000E+00   2.164E-03
   2.750E-02   1.525E-01   3.643E-01   0.000E+00   2.549E-03
   2.500E-02   1.837E-01   4.635E-01   0.000E+00   3.070E-03
   2.400E-02   2.018E-01   5.126E-01   0.000E+00   3.314E-03
   2.000E-02   2.958E-01   7.902E-01   0.000E+00   4.723E-03
   1.800E-02   3.691E-01   9.717E-01   0.000E+00   5.817E-03
   1.600E-02   4.915E-01   1.195E+00   0.000E+00   7.348E-03
   1.500E-02   5.867E-01   1.331E+00   0.000E+00   8.353E-03
   1.400E-02   6.676E-01   1.482E+00   0.000E+00   9.342E-03
   1.200E-02   1.023E+00   1.854E+00   0.000E+00   1.264E-02
   1.000E-02   1.557E+00   2.384E+00   0.000E+00   1.749E-02
   9.000E-03   2.079E+00   2.679E+00   0.000E+00   2.142E-02
   8.000E-03   2.742E+00   3.084E+00   0.000E+00   2.581E-02
   7.500E-03   3.214E+00   3.400E+00   0.000E+00   2.939E-02
   7.000E-03   3.869E+00   3.790E+00   0.000E+00   3.339E-02
   6.000E-03   5.493E+00   4.797E+00   0.000E+00   4.425E-02
   5.000E-03   7.630E+00   6.653E+00   0.000E+00   6.149E-02
   4.500E-03   9.179E+00   7.945E+00   0.000E+00   7.502E-02
   4.000E-03   1.057E+01   9.391E+00   0.000E+00   9.275E-02
   3.500E-03   1.231E+01   1.087E+01   0.000E+00   1.185E-01
   3.000E-03   1.434E+01   1.199E+01   0.000E+00   1.570E-01
   2.750E-03   1.513E+01   1.228E+01   0.000E+00   1.820E-01
   2.500E-03   1.563E+01   1.241E+01   0.000E+00   2.118E-01
   2.400E-03   1.597E+01   1.242E+01   0.000E+00   2.252E-01
   2.350E-03   1.616E+01   1.244E+01   0.000E+00   2.324E-01
   2.320E-03   1.625E+01   1.245E+01   0.000E+00   2.366E-01
   2.310E-03   1.628E+01   1.246E+01   0.000E+00   2.380E-01
   2.300E-03   1.631E+01   1.245E+01   0.000E+00   2.394E-01
   2.250E-03   1.640E+01   1.249E+01   0.000E+00   2.470E-01
   2.200E-03   1.650E+01   1.251E+01   0.000E+00   2.545E-01
   2.150E-03   1.667E+01   1.251E+01   0.000E+00   2.618E-01
   2.120E-03   1.676E+01   1.245E+01   0.000E+00   2.663E-01
   2.110E-03   1.678E+01   1.243E+01   0.000E+00   2.678E-01
   2.100E-03   1.678E+01   1.240E+01   0.000E+00   2.692E-01
   2.080E-03   1.676E+01   1.232E+01   0.000E+00   2.717E-01
   2.000E-03   1.675E+01   1.194E+01   0.000E+00   2.828E-01
   1.950E-03   1.686E+01   1.152E+01   0.000E+00   2.877E-01
   1.900E-03   1.707E+01   1.096E+01   0.000E+00   2.912E-01
   1.850E-03   1.728E+01   1.025E+01   0.000E+00   2.921E-01
   1.830E-03   1.737E+01   9.925E+00   0.000E+00   2.917E-01
   1.820E-03   1.738E+01   9.752E+00   0.000E+00   2.913E-01
   1.810E-03   1.741E+01   9.572E+00   0.000E+00   2.909E-01
   1.800E-03   1.745E+01   9.397E+00   0.000E+00   2.906E-01
   1.750E-03   1.764E+01   8.391E+00   0.000E+00   2.875E-01
   1.700E-03   1.767E+01   7.318E+00   0.000E+00   2.829E-01
   1.670E-03   1.786E+01   6.672E+00   0.000E+00   2.809E-01
   1.650E-03   1.804E+01   6.247E+00   0.000E+00   2.797E-01
   1.640E-03   1.809E+01   6.041E+00   0.000E+00   2.789E-01
   1.630E-03   1.815E+01   5.835E+00   0.000E+00   2.781E-01
   1.610E-03   1.822E+01   5.438E+00   0.000E+00   2.770E-01
   1.600E-03   1.827E+01   5.245E+00   0.000E+00   2.766E-01
   1.590E-03   1.833E+01   5.061E+00   0.000E+00   2.762E-01
   1.580E-03   1.837E+01   4.889E+00   0.000E+00   2.760E-01
   1.570E-03   1.837E+01   4.725E+00   0.000E+00   2.757E-01
   1.560E-03   1.845E+01   4.582E+00   0.000E+00   2.759E-01
   1.540E-03   1.860E+01   4.351E+00   0.000E+00   2.764E-01
   1.520E-03   1.861E+01   4.207E+00   0.000E+00   2.773E-01
   1.510E-03   1.861E+01   4.172E+00   0.000E+00   2.779E-01
